title	company	record	area	link	site_name
오프라인 결제 개발 (경력 3년이상)	㈜엑심베이	개발·데이터	서울 구로구	https://www.jobkorea.co.kr/Recruit/GI_Read/46211832?Oem_Code=C1&sc=212	잡코리아
AI Research Engineer 시니어	웨이센	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46206262?Oem_Code=C1&sc=212	잡코리아
개발자 LIS System 개발 및 운영	오픈헬스케어㈜	개발·데이터	서울 성동구	https://www.jobkorea.co.kr/Recruit/GI_Read/46192075?Oem_Code=C1&sc=212	잡코리아
시스템 모니터링 개발자	㈜와탭랩스	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46189981?Oem_Code=C1&sc=212	잡코리아
DB 엔지니어	㈜와탭랩스	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46189884?Oem_Code=C1&sc=212	잡코리아
데브옵스 엔지니어	㈜와탭랩스	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46189852?Oem_Code=C1&sc=212	잡코리아
AI/ML 엔지니어	㈜와탭랩스	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46189660?Oem_Code=C1&sc=212	잡코리아
R&D팀 앱 개발자	엠투클라우드	개발·데이터	서울 송파구	https://www.jobkorea.co.kr/Recruit/GI_Read/46172994?Oem_Code=C1&sc=212	잡코리아
R&D팀 프론트엔드 개발자	엠투클라우드	개발·데이터	서울 송파구	https://www.jobkorea.co.kr/Recruit/GI_Read/46172979?Oem_Code=C1&sc=212	잡코리아
IoT Specialist	㈜비스텔리젼스	개발·데이터	서울 서초구 외 1	https://www.jobkorea.co.kr/Recruit/GI_Read/46172949?Oem_Code=C1&sc=212	잡코리아
정보보호/보안 전문가(3년 이상)	파인더갭㈜	개발·데이터	서울 강남구 외 2	https://www.jobkorea.co.kr/Recruit/GI_Read/46138334?Oem_Code=C1&sc=212	잡코리아
ORACLE 데이터베이스 엔지니어 경력직채용	에이텍정보통신㈜	개발·데이터	서울 영등포구 외 5	https://www.jobkorea.co.kr/Recruit/GI_Read/46098368?Oem_Code=C1&sc=212	잡코리아
5G/LTE IoT단말검증 및 기술지원(경력)	㈜스톤위즈	개발·데이터	서울 구로구 외 1	https://www.jobkorea.co.kr/Recruit/GI_Read/46095964?Oem_Code=C1&sc=212	잡코리아
Backend engineer	메디웨일	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/45991070?Oem_Code=C1&sc=212	잡코리아
System engineer	메디웨일	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/45991059?Oem_Code=C1&sc=212	잡코리아
데이터 엔지니어	메디웨일	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/45991050?Oem_Code=C1&sc=212	잡코리아
iOS 개발자	㈜티피씨인터넷	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46322298?Oem_Code=C1&sc=212	잡코리아
Cloud DBA	잡코리아(유)	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46319655?Oem_Code=C1&sc=212	잡코리아
[서울]EMS, BEMS, FEMS 개발자경력	㈜엔엑스	개발·데이터	서울 서초구	https://www.jobkorea.co.kr/Recruit/GI_Read/46316303?Oem_Code=C1&sc=212	잡코리아
AI 개발자	㈜휴머스온	개발·데이터	서울 강남구 외 1	https://www.jobkorea.co.kr/Recruit/GI_Read/46286990?Oem_Code=C1&sc=212	잡코리아
HW 개발자	㈜메텍홀딩스	개발·데이터	서울 강남구	https://www.jobkorea.co.kr/Recruit/GI_Read/46272246?Oem_Code=C1&sc=212	잡코리아
웹(web) 개발자	㈜하이	개발·데이터	서울 종로구	https://www.jobkorea.co.kr/Recruit/GI_Read/46262034?Oem_Code=C1&sc=212	잡코리아
웹보안 소프트웨어 개발자	펜타시큐리티㈜	개발·데이터	서울 영등포구	https://www.jobkorea.co.kr/Recruit/GI_Read/46259617?Oem_Code=C1&sc=212	잡코리아
[브이캣] 프론트엔드 개발자	파이온코퍼레이션	경력 5-10년	서울 강남구	https://www.wanted.co.kr/wd/229804	원티드
프론트엔드 개발자	덴컴	경력 4-8년	서울 강남구	https://www.wanted.co.kr/wd/257300	원티드
Full Stack Developer (운영 / 유지보수)	오케스트로	경력 3-10년	서울 영등포구	https://www.wanted.co.kr/wd/212764	원티드
프론트엔드 개발자(시니어/5년 이상)	워드바이스	경력 5-10년	서울 강남구	https://www.wanted.co.kr/wd/240957	원티드
파이썬 백엔드 개발자	한국글로벌널리지네트웍	경력 3-5년	서울 금천구	https://www.wanted.co.kr/wd/255848	원티드
AI솔루션 개발자	엠로(emro)	경력 3-10년	서울 영등포구	https://www.wanted.co.kr/wd/249102	원티드
Frontend 개발자(5년이상)	트래포트	경력 5-10년	서울 종로구	https://www.wanted.co.kr/wd/260899	원티드
Front-end Developer (Cloud Monitoring)	오케스트로	경력 2-7년	서울 영등포구	https://www.wanted.co.kr/wd/129222	원티드
Back-end Developer(OpenStack Service Platform)	오케스트로	경력 3-15년	서울 영등포구	https://www.wanted.co.kr/wd/212656	원티드
Python 개발자(4년 이상)	자이온아이티에스	경력 4-11년	서울 서초구	https://www.wanted.co.kr/wd/220739	원티드
Back-end Developer(Private Cloud 구축/CMP 사업수행)	오케스트로	경력 5-10년	서울 영등포구	https://www.wanted.co.kr/wd/212674	원티드
AI 기반 사주 앱 / 텔레그램 미니앱 개발자	화승엔지니어링	경력 1-5년	서울 구로구	https://www.wanted.co.kr/wd/245510	원티드
C# 엔지니어 (C#, WPF) (주니어/미드레벨)	벳칭	경력 3-10년	서울 서초구	https://www.wanted.co.kr/wd/259886	원티드
[일레븐플러스] Backend Developer (Node.js)	캔랩코리아	경력 3-13년	서울 서초구	https://www.wanted.co.kr/wd/261683	원티드
[XR 콘텐츠 클라우드] 프론트엔드 개발	올림플래닛(OLIM PLANET)	경력 3-7년	서울 강남구	https://www.wanted.co.kr/wd/215580	원티드
Frontend Engineer(5년 이상)	제로엑스플로우	경력 5-35년	서울 마포구	https://www.wanted.co.kr/wd/253612	원티드
시니어 개발자 (백엔드)	파이어볼트	경력 5-20년	서울 마포구	https://www.wanted.co.kr/wd/261097	원티드
백엔드 개발자(PHP) 팀원 (정보보안실)	테크랩스	경력 5-10년	서울 강남구	https://www.wanted.co.kr/wd/259626	원티드
PHP 그누보드, 리액트 일렉트론 개발자	더이팩토리	경력 3-10년	서울 구로구	https://www.wanted.co.kr/wd/225860	원티드
프론트엔드 개발자 (5년 이상)	알서포트(Rsupport)	경력 5년 이상	서울 강동구	https://www.wanted.co.kr/wd/197139	원티드
웹개발 담당자 (.NET, C#, 2년 이상)	디티피아	경력 2년 이상	서울 성동구	https://www.wanted.co.kr/wd/255463	원티드
Frontend Engineer (5년 이상)	알티엠	경력 5-10년	서울 강남구	https://www.wanted.co.kr/wd/59566	원티드
백엔드&인프라 개발자	에피소든	경력 6년 이상	서울 강남구	https://www.wanted.co.kr/wd/256070	원티드
Back-end 엔지니어	파인테크소프트	경력 3년 이상	서울 서초구	https://www.wanted.co.kr/wd/253744	원티드
Back-End Developer (Cloud Monitoring)	오케스트로	경력 5-10년	서울 영등포구	https://www.wanted.co.kr/wd/220949	원티드
웹개발 (5년 이상)	에스티로직(STLogic)	경력 5-10년	서울 서초구	https://www.wanted.co.kr/wd/259049	원티드
크로스샵 웹 프론트엔드 개발자	크로스이엔에프	경력 3년 이상	서울 강남구	https://www.wanted.co.kr/wd/230881	원티드
웹(React) 개발자(3년 이상, 전문연 가능)	클라썸	경력 3년 이상	서울 강남구	https://www.wanted.co.kr/wd/262550	원티드
