| site_name | title | company | record | area |
| 사람인 | [신일제약(주) 전산 신입 및 경력 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49751678) | 신일제약(주) | 신입 · 경력 · 정규직 | 서울 동대문구 |
| 인크루트 | [ICT본부 경력직 공개채용](https://job.incruit.com/jobdb_info/jobpost.asp?job=2502130000123) | 신한투자증권(주) | 서울 | 계약직 |
| 원티드 | [[패치스] 웹 프론트엔드 개발자 (3년 이상)](https://www.wanted.co.kr/wd/260109) | 심플컴퍼니 | 경력 3년 이상 | 서울 광진구 |
| 원티드 | [Front-end](https://www.wanted.co.kr/wd/258947) | 씨드로닉스 | 경력 3-7년 | 서울 강남구 |
| 원티드 | [NestJS, Python 백엔드 개발자(5년차이상)](https://www.wanted.co.kr/wd/255914) | 씨에스엠17 | 경력 5년 이상 | 서울 금천구 |
| 원티드 | [웹 개발자 (중간관리자)](https://www.wanted.co.kr/wd/246708) | 씨엠월드 | 경력 6-10년 | 서울 금천구 |
| 잡코리아 | [백엔드(Back-End) 초급 개발자](https://www.jobkorea.co.kr/Recruit/GI_Read/46520479?Oem_Code=C1&sc=212) | 씨와이 | 개발·데이터 | 서울 서초구 |
| 인크루트 | [[CJ AI실/경력] Backend Engineer](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501030000100) | 씨제이올리브네트웍스(주) | 경력7년↑ | 강남구 |
| 인크루트 | [[CJ올리브영] 백엔드 개발자 (SCM/물류/발주)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501020001852) | 씨제이올리브영(주) | 경력5년↑ | 용산구 |
| 인크루트 | [[CJ올리브영] 백엔드 개발자 (풀필먼트/물류/WMS)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501020001860) | 씨제이올리브영(주) | 경력5년↑ | 용산구 |
| 인크루트 | [[CJ올리브영] 프론트엔드 개발자 (디플롯 서비스)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501150000089) | 씨제이올리브영(주) | 경력6년↑ | 용산구 |
| 인크루트 | [[CJ올리브영] 프론트엔드 개발자(회원, 쿠폰, 캠페인)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2503050000068) | 씨제이올리브영(주) | 서울 | 8년↑ |
| 원티드 | [풀스텍 개발자 미들급](https://www.wanted.co.kr/wd/214516) | 아더월드 | 경력 3-7년 | 서울 성동구 |
| 인크루트 | [2025년 IBK연금보험 각 부문 경력직 / 장애인전형 공개채용 (~1.31)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501150002081) | 아이비케이연금보험 | 신입/경력4년↑ | 중구 |
| 원티드 | [웹프론트엔드 개발자](https://www.wanted.co.kr/wd/228964) | 아이파킹 | 경력 6-10년 | 서울 금천구 |
| 사람인 | [사이트팀 풀스택(Full-Stack) 개발자 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49609792) | 아이파킹(주) | 경력 3년↑ · 정규직 | 서울 금천구 |
| 사람인 | [클라우드 Java 백엔드 개발자 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49812105) | 아이파킹(주) | 4 ~ 6년 · 정규직 | 서울 금천구 |
| 사람인 | [iOS APP 개발자 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49984199) | 아이파킹(주) | 2 ~ 5년 · 정규직 | 서울 금천구 |
| 잡코리아 | [AIoT 플랫폼 앱/서버 엔지니어(5-10년)](https://www.jobkorea.co.kr/Recruit/GI_Read/46329796?Oem_Code=C1&sc=212) | 아카라라이프㈜ | 개발·데이터 | 서울 서초구 |
